ID;Bezeichner;Gehäuse;Stückzahl;Bezeichnung
1;REF2,REF3,REF1;MountingHole_2.5mm;3;MountingHole_2.5mm
2;J3,J4;PhoenixContact_MC_1,5_4-G-3.81_1x04_P3.81mm_Horizontal;2;Conn_01x04
3;C30,C29,C28,C13,C20,C9,C17,C16,C14;C_1206_3216Metric_Pad1.42x1.75mm_HandSolder;9;100n
4;J5;PinSocket_2x05_P1.27mm_Vertical_SMD;1;Conn_ARM_JTAG_SWD_10
5;J7;PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal;1;Conn_01x02
6;J6;USB_Mini-B_Lumberg_2486_01_Horizontal;1;USB_B_Mini
7;C7,C26,C8,C6,C5;C_1206_3216Metric_Pad1.42x1.75mm_HandSolder;5;1u
8;U3;SOIC-8_3.9x4.9mm_P1.27mm;1;LP2951-3.3_SOIC
9;R37,R36,R7,R5;R_1206_3216Metric_Pad1.42x1.75mm_HandSolder;4;2.2k
10;U10;SOT-23-6;1;TMP100
11;R34,R33,R30,R29,R26,R24,R23,R19,R18,R15,R6,R4,R1,R11,R10;R_1206_3216Metric_Pad1.42x1.75mm_HandSolder;15;10k
12;C27,C10;C_1206_3216Metric_Pad1.42x1.75mm_HandSolder;2;1n
13;Y1;Crystal_SMD_TXC_7A-2Pin_5x3.2mm;1;12MHz
14;R32,R22,R21,R12;R_1206_3216Metric_Pad1.42x1.75mm_HandSolder;4;5.1k
15;R31,R20;R_1206_3216Metric_Pad1.42x1.75mm_HandSolder;2;510
16;J2,J1;PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal;2;Conn_01x03
17;C25,C15;C_1206_3216Metric_Pad1.42x1.75mm_HandSolder;2;10n
18;C24,C23,C4,C3;CP_Elec_6.3x7.7;4;47u
19;U7,U5;SOIC-8_3.9x4.9mm_P1.27mm;2;INA240A1D
20;U8,U6,U1;SOIC-8_3.9x4.9mm_P1.27mm;3;FAN3278TMX
21;R28,R27,R17,R16,R3,R2;R_1206_3216Metric_Pad1.42x1.75mm_HandSolder;6;10
22;R25,R14;R_1206_3216Metric_Pad1.42x1.75mm_HandSolder;2;0.1
23;Q3,Q2,Q1;SOIC-8_3.9x4.9mm_P1.27mm;3;FDS8858
24;C22,C19,C18;C_1210_3225Metric_Pad1.42x2.65mm_HandSolder;3;470n
25;C21,C2,C1;C_1206_3216Metric_Pad1.42x1.75mm_HandSolder;3;22u
26;U4;LQFP-48_7x7mm_P0.5mm;1;STM32F303CBTx
27;U2;SOIC-8_3.9x4.9mm_P1.27mm;1;LP2951-5.0_SOIC
28;R13;R_1206_3216Metric_Pad1.42x1.75mm_HandSolder;1;1.5k
29;R9,R8;R_1206_3216Metric_Pad1.42x1.75mm_HandSolder;2;330
30;D4,D3;LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder;2;LED
31;D2,D1;D_1206_3216Metric_Pad1.42x1.75mm_HandSolder;2;D_Schottky
32;C12,C11;C_1206_3216Metric_Pad1.42x1.75mm_HandSolder;2;12p
